Name,Code,Total Words,Last Change,Translated,Fuzzy,Untranslated
Arabic,ar,4807,,0,0,4807
Bengali,bn,861,2023-04-05,37,1,823
Danish,da,5807,2022-05-26,1778,471,3558
German,de,5866,2023-02-21,5399,212,255
English,en,6694,,6694,0,0
English (United Kingdom),en_GB,1982,2023-05-15,175,0,1807
Spanish,es,4095,2023-05-16,2086,372,1637
Persian,fa,2906,2022-05-26,266,9,2631
French,fr,5866,2023-04-13,5808,40,18
Hindi,hi,873,2023-04-10,373,3,497
Hungarian,hu,591,2023-04-06,4,0,587
Indonesian,id,587,2023-02-01,1,0,586
Italian,it,5984,2022-08-30,5983,0,1
Japanese,ja,5748,2022-05-26,5005,361,382
Korean,ko,5866,2022-10-01,4498,199,1169
Lithuanian,lt,5866,2022-05-26,5677,86,103
Nepali,ne,889,2023-05-06,282,0,607
Norwegian Nynorsk,nn,2622,2022-05-26,1866,539,217
Polish,pl,5866,2022-05-26,5370,226,270
Portuguese (Brazil),pt_BR,5894,2023-04-16,3996,972,926
Russian,ru,5866,2022-05-26,5693,74,99
Albanian,sq,1170,2022-08-30,70,0,1100
Turkish,tr,4260,2022-05-26,1846,532,1882
Urdu,ur,587,2023-02-01,1,0,586
Chinese (Simplified),zh_Hans,5810,2023-03-08,4906,444,460
Chinese (Traditional),zh_Hant,5866,2022-05-26,5368,220,278
