user,language,library,units,date,time
mr148,French,grDevices (C files),73096,19234,14:57:59
mr148,French,grDevices (C files),73100,19234,14:59:33
mr148,French,grDevices (C files),73103,19234,15:02:04
mr148,French,grDevices (C files),73107,19234,15:05:03
mr148,Italian,utils (R files),114026,19234,16:15:41
mr148,Italian,grid (R files),82209,19234,16:18:43
lente,Portuguese (Brazil),tools (R files),109394,19236,21:14:47
lente,Portuguese (Brazil),tools (R files),109290,19237,14:11:04
lente,Portuguese (Brazil),tools (R files),109489,19237,14:35:38
lente,Portuguese (Brazil),utils (R files),115924,19237,17:29:42
msquiroga,Spanish,stats (C files),126537,19280,13:50:04
msquiroga,Spanish,stats (C files),126540,19280,13:51:39
PatriLoto,Spanish,base (C files),49197,19280,13:56:32
PatriLoto,Spanish,graphics (C files),77231,19280,13:56:32
beatrizmilz,Portuguese (Brazil),utils (R files),116162,19280,14:12:42
msquiroga,Spanish,stats (C files),126560,19280,14:15:26
msquiroga,Spanish,stats (C files),126573,19280,14:20:27
msquiroga,Spanish,stats (C files),126576,19280,14:22:11
msquiroga,Spanish,stats (C files),126577,19280,14:22:37
Gtormin,Portuguese (Brazil),stats4 (R files),99823,19280,14:23:03
msquiroga,Spanish,stats (C files),126578,19280,14:23:19
msquiroga,Spanish,stats (C files),126579,19280,14:23:47
Gtormin,Portuguese (Brazil),stats4 (R files),99824,19280,14:23:51
msquiroga,Spanish,stats (C files),126580,19280,14:24:02
Gtormin,Portuguese (Brazil),stats4 (R files),99828,19280,14:24:13
msquiroga,Spanish,stats (C files),126581,19280,14:24:28
msquiroga,Spanish,stats (C files),126582,19280,14:24:48
msquiroga,Spanish,stats (C files),126587,19280,14:26:45
Gtormin,Portuguese (Brazil),methods (R files),87735,19280,14:40:11
Gtormin,Portuguese (Brazil),methods (R files),87805,19280,14:45:41
msquiroga,Spanish,stats (C files),126591,19280,17:41:46
msquiroga,Spanish,stats (C files),126592,19280,17:41:58
msquiroga,Spanish,stats (C files),126598,19280,17:44:44
msquiroga,Spanish,stats (C files),126619,19280,17:54:24
msquiroga,Spanish,stats (C files),126625,19280,21:38:25
msquiroga,Spanish,stats (C files),126630,19280,21:41:39
msquiroga,Spanish,stats (C files),126632,19280,21:42:49
msquiroga,Spanish,stats (C files),126636,19280,21:44:30
msquiroga,Spanish,stats (C files),126638,19280,21:46:30
msquiroga,Spanish,stats (C files),126641,19280,21:47:35
msquiroga,Spanish,stats (C files),126642,19280,21:48:06
msquiroga,Spanish,stats (C files),126643,19280,21:48:31
msquiroga,Spanish,stats (C files),126644,19280,21:49:05
msquiroga,Spanish,stats (C files),126653,19280,21:51:49
msquiroga,Spanish,stats (C files),126655,19280,21:52:48
msquiroga,Spanish,stats (C files),126662,19280,21:58:18
msquiroga,Spanish,stats (C files),126665,19280,21:59:53
msquiroga,Spanish,stats (C files),126667,19280,22:01:48
msquiroga,Spanish,stats (C files),126674,19280,22:06:04
beatrizmilz,Portuguese (Brazil),parallel (R files),126766,19286,23:29:51
beatrizmilz,Portuguese (Brazil),parallel (R files),126769,19286,23:30:54
beatrizmilz,Portuguese (Brazil),parallel (R files),126776,19286,23:32:14
Saranjeet,Hindi,base (C files),128945,19394,08:33:41
Saranjeet,Hindi,base (C files),128964,19397,16:30:11
Sovan,Bengali,base (R files),130212,19452,06:29:01
